Lfd,Code,Researchers,Language,Date,Start,End,Check,Verb,Sentencetype,Item,Rating,Origin
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,E,PN,94,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,E,PI,109,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,M,PA,9,3,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,M,AA,28,5,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,M,PN,73,2,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,M,PI,88,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,M,AI,99,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,P,PI,19,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,P,PN,39,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,P,AA,67,1,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,P,PA,79,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,P,AI,117,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,S,AI,7,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,S,PI,45,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,S,PN,58,5,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,S,AI,90,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,S,PA,119,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,T,PI,22,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,T,AA,43,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,T,AI,64,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,T,PN,82,4,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,T,PA,112,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,U,PA,15,6,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,U,AI,24,3,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,U,PN,49,7,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,U,PI,69,3,B
Lfd_05,324MC,ABR/JS/AS/SG,S,15.05.2023,16:55:00,17:06:00,ABR,U,AA,105,3,B
